source,title_clean,date,url,vader_sentiment,vader_score,topic_cluster,topic_label,counties_mentioned,commodities_mentioned
Kenya News Agency,First Lady launches projects at Unoa primary comprehensive school,2026-05-01 12:47:50,https://www.kenyanews.go.ke/first-lady-launches-projects-at-unoa-primary-comprehensive-school/,Positive,0.25,1,Government Programmes,[],[]
Kenya News Agency,West Pokot moves to champion agroecology in bold agricultural shift,2026-04-30 16:22:01,https://www.kenyanews.go.ke/west-pokot-moves-to-champion-agroecology-in-bold-agricultural-shift/,Positive,0.7579,5,General Farming & Seeds,['West Pokot'],[]
Kenya News Agency,Macadamia farmers’ agony over ban on raw nuts,2026-04-30 16:10:31,https://www.kenyanews.go.ke/macadamia-farmers-agony-over-ban-on-raw-nuts/,Negative,-0.8271,5,General Farming & Seeds,[],[]
Kenya News Agency,"Vihiga, CGA sign deal to boost agribusiness",2026-04-30 16:08:44,https://www.kenyanews.go.ke/vihiga-cga-sign-deal-to-boost-agribusiness/,Positive,0.4019,1,Government Programmes,['Vihiga'],[]
Kenya News Agency,Taita Taveta digitizing livestock value chain,2026-04-30 16:06:14,https://www.kenyanews.go.ke/taita-taveta-digitizing-livestock-value-chain/,Positive,0.34,0,Livestock & Disease,['Taita Taveta'],[]
Kenya News Agency,Traditional vegetables turn lucrative as demand rises,2026-04-30 10:44:33,https://www.kenyanews.go.ke/traditional-vegetables-turn-lucrative-as-demand-rises/,Negative,-0.128,5,General Farming & Seeds,[],[]
Kenya News Agency,Avocado seedlings boost farmers’ incomes at Kangaita Tea Factory,2026-04-30 10:35:52,https://www.kenyanews.go.ke/avocado-seedlings-boost-farmers-incomes-at-kangaita-tea-factory/,Positive,0.4019,1,Government Programmes,[],"['Tea', 'Avocado']"
Kenya News Agency,Government unveils plan to revive cashew farming,2026-04-29 14:33:46,https://www.kenyanews.go.ke/government-unveils-plan-to-revive-cashew-farming/,Positive,0.34,2,Cash Crops (Tea/Coffee/Sugar),[],[]
Kenya News Agency,Hybrid poultry system cuts costs for entrepreneur,2026-04-29 11:48:23,https://www.kenyanews.go.ke/hybrid-poultry-system-cuts-costs-for-entrepreneur/,Negative,-0.296,5,General Farming & Seeds,[],[]
Kenya News Agency,Nakuru drafts policy to enhance extension services,2026-04-29 11:04:11,https://www.kenyanews.go.ke/nakuru-drafts-policy-to-enhance-extension-services/,Neutral,0.0,5,General Farming & Seeds,['Nakuru'],[]
Kenya News Agency,"Migori County’s dream to upgrade dairy, beef production comes true",2026-04-28 13:14:51,https://www.kenyanews.go.ke/migori-countys-dream-to-upgrade-dairy-beef-production-comes-true/,Positive,0.5859,5,General Farming & Seeds,['Migori'],[]
Kenya News Agency,Subsidized fertilizer programme boosts yield despite access gaps,2026-04-28 11:54:38,https://www.kenyanews.go.ke/subsidized-fertilizer-programme-boosts-yield-despite-access-gaps/,Positive,0.3182,1,Government Programmes,[],[]
Kenya News Agency,Kirinyaga coffee payout hits historic Sh7.4 billion,2026-04-27 15:59:45,https://www.kenyanews.go.ke/kirinyaga-coffee-payout-hits-historic-sh7-4-billion/,Neutral,0.0,5,General Farming & Seeds,['Kirinyaga'],['Coffee']
Kenya News Agency,Flooded West Kano land reclaimed to boost rice output,2026-04-27 12:05:26,https://www.kenyanews.go.ke/flooded-west-kano-land-reclaimed-to-boost-rice-output/,Positive,0.4019,1,Government Programmes,[],['Rice']
Kenya News Agency,Farmer builds a profitable dairy enterprise with three cows,2026-04-26 14:09:17,https://www.kenyanews.go.ke/farmer-builds-a-profitable-dairy-enterprise-with-three-cows/,Positive,0.4404,5,General Farming & Seeds,[],[]
Kenya News Agency,"Debt bailouts by government no longer tenable, says CS Kagwe",2026-04-24 17:50:57,https://www.kenyanews.go.ke/debt-bailouts-by-government-no-longer-tenable-says-cs-kagwe/,Negative,-0.5719,2,Cash Crops (Tea/Coffee/Sugar),[],[]
Kenya News Agency,Farmer wins motorcycle as certified seeds increase yields,2026-04-24 17:37:26,https://www.kenyanews.go.ke/farmer-wins-motorcycle-as-certified-seeds-increase-yields/,Positive,0.7184,4,Soil & Yield Improvement,[],[]
Kenya News Agency,"Sugarcane farming reports Growth in Tinderet, Nandi",2026-04-24 14:47:44,https://www.kenyanews.go.ke/sugarcane-farming-reports-growth-in-tinderet-nandi/,Positive,0.3818,5,General Farming & Seeds,['Nandi'],['Sugar']
Kenya News Agency,Agriculture signals possible lift on raw macadamia export ban,2026-04-24 12:34:38,https://www.kenyanews.go.ke/agriculture-signals-possible-lift-on-raw-macadamia-export-ban/,Negative,-0.5574,5,General Farming & Seeds,[],[]
Kenya News Agency,Kwale farmers decry seed shortage,2026-04-24 11:43:49,https://www.kenyanews.go.ke/kwale-farmers-decry-seed-shortage/,Negative,-0.25,5,General Farming & Seeds,['Kwale'],[]
Kenya News Agency,Kenyan Coffee Fetches Record Prices at African Trade Fair,2026-04-24 11:34:45,https://www.kenyanews.go.ke/kenyan-coffee-fetches-record-prices-at-african-trade-fair/,Positive,0.3182,5,General Farming & Seeds,[],"['Rice', 'Coffee']"
Kenya News Agency,Embu banks on young agripreneurs to revolutionize agriculture,2026-04-24 11:31:01,https://www.kenyanews.go.ke/embu-banks-on-young-agripreneurs-to-revolutionize-agriculture/,Neutral,0.0,5,General Farming & Seeds,['Embu'],[]
Kenya News Agency,Kirinyaga farmers register record coffee rates,2026-04-23 16:44:03,https://www.kenyanews.go.ke/kirinyaga-farmers-register-record-coffee-rates/,Neutral,0.0,5,General Farming & Seeds,['Kirinyaga'],['Coffee']
Kenya News Agency,Nyamira ‎farmer wins motorcycle in anti-counterfeit seed campaign,2026-04-23 15:24:30,https://www.kenyanews.go.ke/nyamira-%e2%80%8efarmer-wins-motorcycle-in-anti-counterfeit-seed-campaign/,Positive,0.5719,5,General Farming & Seeds,['Nyamira'],[]
Kenya News Agency,4000 farmers benefit from climate-smart agribusiness programme,2026-04-22 16:01:07,https://www.kenyanews.go.ke/4000-farmers-benefit-from-climate-smart-agribusiness-programme/,Positive,0.4588,1,Government Programmes,[],[]
Kenya News Agency,Hippos invade crops along shores of Lake Victoria,2026-04-22 12:45:52,https://www.kenyanews.go.ke/hippos-invade-crops-along-shores-of-lake-victoria/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,Tomato price surge after January glut leaves markets strained,2026-04-21 18:38:58,https://www.kenyanews.go.ke/tomato-price-surge-after-january-glut-leaves-markets-strained/,Negative,-0.4019,5,General Farming & Seeds,[],['Rice']
Kenya News Agency,Uasin-Gishu County launches programme to boost agricultural financing,2026-04-21 18:34:40,https://www.kenyanews.go.ke/uasin-gishu-county-launches-programme-to-boost-agricultural-financing/,Positive,0.4019,1,Government Programmes,[],[]
Kenya News Agency,Escarpment Belt irrigation project takes shape in Lari,2026-04-21 17:13:32,https://www.kenyanews.go.ke/escarpment-belt-irrigation-project-takes-shape-in-lari/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,How irrigation is transforming lives in Buuri East subcounty,2026-04-21 14:55:43,https://www.kenyanews.go.ke/how-irrigation-is-transforming-lives-in-buuri-east-subcounty/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,"CGA, Egerton University partner to promote improved groundnut varieties",2026-04-20 17:46:12,https://www.kenyanews.go.ke/cga-egerton-university-partner-to-promote-improved-groundnut-varieties/,Positive,0.6908,5,General Farming & Seeds,[],[]
Kenya News Agency,Farmers turn to organic manure to cut costs and restore soil health,2026-04-20 17:27:36,https://www.kenyanews.go.ke/farmers-turn-to-organic-manure-to-cut-costs-and-restore-soil-health/,Neutral,0.0258,4,Soil & Yield Improvement,[],[]
Kenya News Agency,"KPL champions indigenous seeds, opposes GMOs ahead of key court ruling",2026-04-20 14:04:37,https://www.kenyanews.go.ke/kpl-champions-indigenous-seeds-opposes-gmos-ahead-of-key-court-ruling/,Positive,0.5267,5,General Farming & Seeds,[],[]
Kenya News Agency,"Kenya targets youth, technology to revitalize tea sector",2026-04-20 12:22:18,https://www.kenyanews.go.ke/kenya-targets-youth-technology-to-revitalize-tea-sector/,Neutral,0.0,5,General Farming & Seeds,[],['Tea']
Kenya News Agency,Vihiga County intensifies agricultural transformation,2026-04-18 21:26:29,https://www.kenyanews.go.ke/vihiga-county-intensifies-agricultural-transformation/,Neutral,0.0,5,General Farming & Seeds,['Vihiga'],[]
Kenya News Agency,40 Young Agripreneurs shift to digital spaces as customers embrace online markets,2026-04-17 17:05:14,https://www.kenyanews.go.ke/40-young-agripreneurs-shift-to-digital-spaces-as-customers-embrace-online-markets/,Positive,0.3182,5,General Farming & Seeds,[],[]
Kenya News Agency,Anthrax outbreak confirmed in Vihiga,2026-04-17 16:48:24,https://www.kenyanews.go.ke/anthrax-outbreak-confirmed-in-vihiga/,Neutral,0.0,5,General Farming & Seeds,['Vihiga'],[]
Kenya News Agency,Kiambu farmers set to gain skills and market linkages at upcoming Lari Agricultural Expo,2026-04-16 12:44:21,https://www.kenyanews.go.ke/kiambu-farmers-set-to-gain-skills-and-market-linkages-at-upcoming-lari-agricultural-expo/,Positive,0.5267,5,General Farming & Seeds,['Kiambu'],[]
Kenya News Agency,ISFAA targets Kilifi in agroecology push and indigenous seeds,2026-04-15 17:11:21,https://www.kenyanews.go.ke/isfaa-targets-kilifi-in-agroecology-push-and-indigenous-seeds/,Neutral,0.0,5,General Farming & Seeds,['Kilifi'],[]
Kenya News Agency,"New strategy to support farmers, businesses, and create jobs",2026-04-15 17:00:34,https://www.kenyanews.go.ke/new-strategy-to-support-farmers-businesses-and-create-jobs/,Positive,0.5859,5,General Farming & Seeds,[],[]
Kenya News Agency,Government move to revive coffee farming in Taita Taveta,2026-04-15 16:17:41,https://www.kenyanews.go.ke/government-move-to-revive-coffee-farming-in-taita-taveta/,Positive,0.34,2,Cash Crops (Tea/Coffee/Sugar),['Taita Taveta'],['Coffee']
Kenya News Agency,Vihiga youth embrace fish value addition to boost incomes,2026-04-15 12:09:33,https://www.kenyanews.go.ke/vihiga-youth-embrace-fish-value-addition-to-boost-incomes/,Positive,0.7506,1,Government Programmes,['Vihiga'],[]
Kenya News Agency,Tonnes of climate-resilient seeds distributed in Kerio Valley,2026-04-15 10:39:33,https://www.kenyanews.go.ke/tonnes-of-climate-resilient-seeds-distributed-in-kerio-valley/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,Vaccination against foot-and-mouth disease kicks off in Siaya,2026-04-15 08:58:22,https://www.kenyanews.go.ke/vaccination-against-foot-and-mouth-disease-kicks-off-in-siaya/,Neutral,0.0,0,Livestock & Disease,['Siaya'],[]
Kenya News Agency,Kagwe tops poll as best performing cabinet secretary 2026,2026-04-14 20:53:19,https://www.kenyanews.go.ke/kagwe-tops-poll-as-best-performing-cabinet-secretary-2026/,Positive,0.8176,5,General Farming & Seeds,[],[]
Kenya News Agency,Kenya targets 125 percent pig industry growth by 2030,2026-04-14 20:07:57,https://www.kenyanews.go.ke/kenya-targets-125-percent-pig-industry-growth-by-2030/,Positive,0.3818,5,General Farming & Seeds,[],[]
Kenya News Agency,Chuka expo highlights solutions to post-harvest losses,2026-04-14 17:46:11,https://www.kenyanews.go.ke/chuka-expo-highlights-solutions-to-post-harvest-losses/,Negative,-0.25,5,General Farming & Seeds,[],[]
Kenya News Agency,Kirinyaga trains youth in digital skills to boost agriculture,2026-04-14 10:36:05,https://www.kenyanews.go.ke/kirinyaga-trains-youth-in-digital-skills-to-boost-agriculture/,Positive,0.4019,1,Government Programmes,['Kirinyaga'],[]
Kenya News Agency,Pig rearing transforms livelihood for Tinderet farmer,2026-04-13 16:00:15,https://www.kenyanews.go.ke/pig-rearing-transforms-livelihood-for-tinderet-farmer/,Positive,0.2023,5,General Farming & Seeds,[],[]
Kenya News Agency,Farmer bets on dual-crop strategy to survive unpredictable seasons,2026-04-11 15:12:36,https://www.kenyanews.go.ke/farmer-bets-on-dual-crop-strategy-to-survive-unpredictable-seasons/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,Sh1.7 billion Taunet hydropower project to lower tea energy costs,2026-04-11 12:09:25,https://www.kenyanews.go.ke/sh1-7-billion-taunet-hydropower-project-to-lower-tea-energy-costs/,Neutral,-0.0258,5,General Farming & Seeds,[],['Tea']
Kenya News Agency,Improved poultry farming boosts incomes for Molo farmers,2026-04-10 16:50:02,https://www.kenyanews.go.ke/improved-poultry-farming-boosts-incomes-for-molo-farmers/,Positive,0.6597,5,General Farming & Seeds,[],[]
Kenya News Agency,Solo Sunrise pawpaw gains popularity among farmers,2026-04-10 12:42:35,https://www.kenyanews.go.ke/solo-sunrise-pawpaw-gains-popularity-among-farmers/,Positive,0.6705,5,General Farming & Seeds,[],[]
Kenya News Agency,Govt intensifies crackdown on unlicensed macadamia dealers,2026-04-10 11:59:40,https://www.kenyanews.go.ke/govt-intensifies-crackdown-on-unlicensed-macadamia-dealers/,Neutral,0.0,3,Dairy & Macadamia,[],[]
Kenya News Agency,Kenya records significant increase in certified seed production,2026-04-09 13:24:26,https://www.kenyanews.go.ke/kenya-records-significant-increase-in-certified-seed-production/,Positive,0.4767,5,General Farming & Seeds,[],[]
Kenya News Agency,Key challenges hindering dairy farming in Vihiga,2026-04-08 17:55:47,https://www.kenyanews.go.ke/key-challenges-hindering-dairy-farming-in-vihiga/,Positive,0.0772,5,General Farming & Seeds,['Vihiga'],[]
Kenya News Agency,Milk surplus hits Kajiado County as prices drop,2026-04-08 17:39:55,https://www.kenyanews.go.ke/milk-surplus-hits-kajiado-county-as-prices-drop/,Negative,-0.2732,5,General Farming & Seeds,['Kajiado'],"['Rice', 'Milk']"
Kenya News Agency,Farmers demand lifting court cases to allow Bt maize,2026-04-08 16:41:28,https://www.kenyanews.go.ke/farmers-demand-lifting-court-cases-to-allow-bt-maize/,Positive,0.1027,5,General Farming & Seeds,[],['Maize']
Kenya News Agency,Kirinyaga launches digital livestock registration and vaccination drive,2026-04-08 16:27:53,https://www.kenyanews.go.ke/kirinyaga-launches-digital-livestock-registration-and-vaccination-drive/,Neutral,0.0,0,Livestock & Disease,['Kirinyaga'],[]
Kenya News Agency,Murang’a integrates organic food into school feeding programme,2026-04-08 12:24:00,https://www.kenyanews.go.ke/muranga-integrates-organic-food-into-school-feeding-programme/,Neutral,0.0,1,Government Programmes,[],[]
Kenya News Agency,Turkana County receives assorted seeds from Kenya Seed Company,2026-04-05 14:51:38,https://www.kenyanews.go.ke/turkana-county-receives-assorted-seeds-from-kenya-seed-company/,Neutral,0.0,5,General Farming & Seeds,['Turkana'],[]
Kenya News Agency,Narok farmers innovate to protect declining donkey numbers,2026-04-04 15:13:02,https://www.kenyanews.go.ke/narok-farmers-innovate-to-protect-declining-donkey-numbers/,Positive,0.7003,5,General Farming & Seeds,['Narok'],[]
Kenya News Agency,Farmers in Migori urged to utilise government facilities and equipment,2026-04-04 14:22:24,https://www.kenyanews.go.ke/farmers-in-migori-urged-to-utilise-government-facilities-and-equipment/,Neutral,0.0,2,Cash Crops (Tea/Coffee/Sugar),['Migori'],[]
Kenya News Agency,Government implements sweeping reforms to streamline tea industry,2026-04-04 11:00:30,https://www.kenyanews.go.ke/government-implements-sweeping-reforms-to-streamline-tea-industry/,Neutral,0.0,2,Cash Crops (Tea/Coffee/Sugar),[],['Tea']
Kenya News Agency,Stakeholders give views on livestock traceability bill in Eldoret,2026-04-03 20:20:46,https://www.kenyanews.go.ke/stakeholders-give-views-on-livestock-traceability-bill-in-eldoret/,Neutral,0.0,0,Livestock & Disease,[],[]
Kenya News Agency,Authority rolls out apiculture project to support local farmers,2026-04-03 20:09:30,https://www.kenyanews.go.ke/authority-rolls-out-apiculture-project-to-support-local-farmers/,Positive,0.4588,5,General Farming & Seeds,[],[]
Kenya News Agency,"Proposed livestock bill to improve quality, earnings and curb theft",2026-04-03 19:17:42,https://www.kenyanews.go.ke/proposed-livestock-bill-to-improve-quality-earnings-and-curb-theft/,Positive,0.4404,0,Livestock & Disease,[],[]
Kenya News Agency,Joint Kenya–Tanzania PPR vaccination exercise launched in Kajiado,2026-04-03 18:12:09,https://www.kenyanews.go.ke/joint-kenya-tanzania-ppr-vaccination-exercise-launched-in-kajiado/,Positive,0.128,0,Livestock & Disease,['Kajiado'],[]
Kenya News Agency,Livestock bill set to unlock global market opportunities,2026-04-03 11:26:48,https://www.kenyanews.go.ke/livestock-bill-set-to-unlock-global-market-opportunities/,Positive,0.3818,0,Livestock & Disease,[],[]
Kenya News Agency,West Pokot farmers receive certified seeds,2026-04-01 15:04:34,https://www.kenyanews.go.ke/west-pokot-farmers-receive-certified-seeds/,Neutral,0.0,5,General Farming & Seeds,['West Pokot'],[]
Kenya News Agency,Proposed bill seeks to boost livestock market,2026-04-01 14:11:53,https://www.kenyanews.go.ke/proposed-bill-seeks-to-boost-livestock-market/,Positive,0.4019,0,Livestock & Disease,[],[]
Kenya News Agency,Kenya steps up livestock disease detection to protect farmers and public health,2026-04-01 12:06:56,https://www.kenyanews.go.ke/kenya-steps-up-livestock-disease-detection-to-protect-farmers-and-public-health/,Positive,0.3818,0,Livestock & Disease,[],[]
Kenya News Agency,Teso retired teachers turn to Avocado farming,2026-04-01 11:15:18,https://www.kenyanews.go.ke/teso-retired-teachers-turn-to-avocado-farming/,Neutral,0.0,5,General Farming & Seeds,[],"['Tea', 'Avocado']"
Kenya News Agency,"‘Strong policy framework needed in tackling HHPs,’ says regional NGOs",2026-03-31 18:57:37,https://www.kenyanews.go.ke/strong-policy-framework-needed-in-tackling-hhps-says-regional-ngos/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,State begins nationwide distribution of two million fertilizer bags,2026-03-31 18:36:06,https://www.kenyanews.go.ke/state-begins-nationwide-distribution-of-two-million-fertilizer-bags/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,"Egerton University, Kilimo Trust launch Regional Agricultural Centre",2026-03-30 20:50:59,https://www.kenyanews.go.ke/egerton-university-kilimo-trust-launch-regional-agricultural-centre/,Positive,0.5106,5,General Farming & Seeds,[],[]
Kenya News Agency,"Farmers receive training, avocado seedlings to boost food security",2026-03-30 18:56:41,https://www.kenyanews.go.ke/farmers-receive-training-avocado-seedlings-to-boost-food-security/,Positive,0.6249,1,Government Programmes,[],['Avocado']
Kenya News Agency,Vihiga County supports traders to boost aquaculture value chain,2026-03-30 18:23:42,https://www.kenyanews.go.ke/vihiga-county-supports-traders-to-boost-aquaculture-value-chain/,Positive,0.765,1,Government Programmes,['Vihiga'],[]
Kenya News Agency,Climate-resilient seeds gain popularity among coastal farmers,2026-03-30 14:46:07,https://www.kenyanews.go.ke/climate-resilient-seeds-gain-popularity-among-coastal-farmers/,Positive,0.7579,5,General Farming & Seeds,[],[]
Kenya News Agency,"AFA clears avocado export, warns against immature harvesting",2026-03-30 11:39:02,https://www.kenyanews.go.ke/afa-clears-avocado-export-warns-against-immature-harvesting/,Neutral,-0.0258,5,General Farming & Seeds,[],['Avocado']
Kenya News Agency,How Pearl Millet is quietly making a comeback in Kenya’s dry lands,2026-03-29 12:12:32,https://www.kenyanews.go.ke/how-pearl-millet-is-quietly-making-a-comeback-in-kenyas-dry-lands/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,"Aquaculture consortium moves to bridge Kenya’s 450,000-metric ton fish deficit",2026-03-28 16:22:20,https://www.kenyanews.go.ke/aquaculture-consortium-moves-to-bridge-kenyas-450000-metric-ton-fish-deficit/,Negative,-0.4019,5,General Farming & Seeds,[],[]
Kenya News Agency,Opening season for avocado harvesting to commence next month,2026-03-28 12:38:59,https://www.kenyanews.go.ke/opening-season-for-avocado-harvesting-to-commence-next-month/,Neutral,0.0,5,General Farming & Seeds,[],['Avocado']
Kenya News Agency,"Man reclaims rejected land, turns it to a source of livelihood",2026-03-27 16:10:22,https://www.kenyanews.go.ke/man-reclaims-rejected-land-turns-it-to-a-source-of-livelihood/,Negative,-0.3612,5,General Farming & Seeds,[],[]
Kenya News Agency,"Over 6,000 cows so far vaccinated in Sabatia Sub County",2026-03-27 11:35:00,https://www.kenyanews.go.ke/over-6000-cows-so-far-vaccinated-in-sabatia-sub-county/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,"Kenya, Italy partner to boost coffee sector and training",2026-03-26 15:03:45,https://www.kenyanews.go.ke/kenya-italy-partner-to-boost-coffee-sector-and-training/,Positive,0.4019,1,Government Programmes,[],['Coffee']
Kenya News Agency,Maize farmers in Tinderet optimistic after last season’s losses,2026-03-26 14:03:36,https://www.kenyanews.go.ke/maize-farmers-in-tinderet-optimistic-after-last-seasons-losses/,Negative,-0.1027,5,General Farming & Seeds,[],['Maize']
Kenya News Agency,"Government to Settle Only Verified Coffee Farmers’ Debts, Says Oparanya",2026-03-26 13:31:20,https://www.kenyanews.go.ke/government-to-settle-only-verified-coffee-farmers-debts-says-oparanya/,Neutral,0.0,2,Cash Crops (Tea/Coffee/Sugar),[],['Coffee']
Kenya News Agency,Oparanya calls for audit before waiver of coffee debt,2026-03-26 13:27:11,https://www.kenyanews.go.ke/oparanya-calls-for-audit-before-waiver-of-coffee-debt/,Negative,-0.3612,5,General Farming & Seeds,[],['Coffee']
Kenya News Agency,Farmers urged to adopt technology to boost coffee production,2026-03-26 11:35:08,https://www.kenyanews.go.ke/farmers-urged-to-adopt-technology-to-boost-coffee-production/,Positive,0.5267,1,Government Programmes,[],['Coffee']
Kenya News Agency,Government to launch modern tea testing centre in Mombasa,2026-03-26 11:31:09,https://www.kenyanews.go.ke/government-to-launch-modern-tea-testing-centre-in-mombasa/,Neutral,0.0,2,Cash Crops (Tea/Coffee/Sugar),['Mombasa'],['Tea']
Kenya News Agency,Avocado transportation at night in Murang’a banned,2026-03-26 08:29:07,https://www.kenyanews.go.ke/avocado-transportation-at-night-in-muranga-banned/,Negative,-0.4588,5,General Farming & Seeds,[],['Avocado']
Kenya News Agency,Nyandarua County prepares to launch coffee farming initiative,2026-03-25 18:49:48,https://www.kenyanews.go.ke/nyandarua-county-prepares-to-launch-coffee-farming-initiative/,Neutral,0.0,5,General Farming & Seeds,['Nyandarua'],['Coffee']
Kenya News Agency,Africa urged to strengthen value chains to boost earnings for farmers,2026-03-25 16:06:45,https://www.kenyanews.go.ke/africa-urged-to-strengthen-value-chains-to-boost-earnings-for-farmers/,Positive,0.7506,4,Soil & Yield Improvement,[],[]
Kenya News Agency,Elgeyo Marakwet distributes iron-rich Nyota beans to vulnerable households,2026-03-25 15:55:20,https://www.kenyanews.go.ke/elgeyo-marakwet-distributes-iron-rich-nyota-beans-to-vulnerable-households/,Negative,-0.2263,5,General Farming & Seeds,['Elgeyo Marakwet'],['Beans']
Kenya News Agency,Avocado farmers trained to combat persea mite pest threat,2026-03-24 10:55:46,https://www.kenyanews.go.ke/avocado-farmers-trained-to-combat-persea-mite-pest-threat/,Negative,-0.7003,5,General Farming & Seeds,[],['Avocado']
Kenya News Agency,"State expands irrigation to enhance food security, incomes",2026-03-24 10:39:02,https://www.kenyanews.go.ke/state-expands-irrigation-to-enhance-food-security-incomes/,Positive,0.4215,5,General Farming & Seeds,[],[]
Kenya News Agency,Developed nations asked to support Africa’s climate-smart agriculture,2026-03-23 17:46:51,https://www.kenyanews.go.ke/developed-nations-asked-to-support-africas-climate-smart-agriculture/,Positive,0.4019,5,General Farming & Seeds,[],[]
Kenya News Agency,Cheptebo field day showcases certified seeds to Kerio farmers,2026-03-21 16:36:35,https://www.kenyanews.go.ke/cheptebo-field-day-showcases-certified-seeds-to-kerio-farmers/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,‎Lewa conservancy rolls out climate-smart agriculture program for surrounding communities,2026-03-21 13:56:57,https://www.kenyanews.go.ke/%e2%80%8elewa-conservancy-rolls-out-climate-smart-agriculture-program-for-surrounding-communities/,Neutral,0.0,5,General Farming & Seeds,[],[]
Kenya News Agency,Kenya promotes Juncao grass technology,2026-03-19 17:51:16,https://www.kenyanews.go.ke/kenya-promotes-juncao-grass-technology/,Positive,0.34,5,General Farming & Seeds,[],[]
Kenya News Agency,Government injects Sh3.5 billion to revamp tea sector,2026-03-19 15:23:44,https://www.kenyanews.go.ke/government-injects-sh3-5-billion-to-revamp-tea-sector/,Neutral,0.0,2,Cash Crops (Tea/Coffee/Sugar),[],['Tea']
Kenya News Agency,Nyandarua farmers receive inputs to boost crop production,2026-03-19 12:07:50,https://www.kenyanews.go.ke/nyandarua-farmers-receive-inputs-to-boost-crop-production/,Positive,0.4019,1,Government Programmes,['Nyandarua'],[]
