county,avg_monthly_rainfall,annual_rainfall,mean_temp,max_temp,drought_frequency,spi_3_mean,dry_days_mean,mam_rainfall,ond_rainfall,ipc_phase,ipc_phase_label,wfp_region
Nyeri,126.41555555555556,1516.9866666666667,16.108655039255847,22.460809993172898,0.19444444444444445,0.1035705350217876,9.416666666666666,183.92777777777778,164.79666666666668,1,Minimal,Central
Samburu,37.12027777777777,445.44333333333327,20.977578810377196,28.157519265232978,0.9166666666666666,0.04023954007705677,21.916666666666668,54.21666666666667,44.30111111111111,3,Crisis,Rift Valley
Siaya,179.34722222222223,2152.166666666667,23.062305299539172,27.221426672640384,0.19444444444444445,0.06276438809176878,9.88888888888889,279.94,234.20555555555555,1,Minimal,Nyanza
Taita Taveta,106.63472222222222,1279.616666666667,24.004946343232636,30.508782812766682,0.6666666666666666,0.018346701649196603,18.02777777777778,138.85555555555555,120.20444444444446,2,Stressed,Coast
Tana River,45.823611111111106,549.8833333333332,27.66595462109575,34.40445876002731,0.8055555555555556,-6.13458439842402e-05,22.194444444444443,76.91333333333334,77.37888888888888,3,Crisis,Coast
Tharaka Nithi,125.26416666666667,1503.17,17.21200424560505,23.25148779655231,0.25,0.05757911356100211,10.416666666666666,189.98777777777775,157.42,1,Minimal,Eastern
Trans Nzoia,161.73277777777778,1940.7933333333335,17.201059737156513,22.982355222734256,0.25,-0.05262601402872652,9.38888888888889,200.92222222222222,123.36999999999999,1,Minimal,Rift Valley
Turkana,15.719166666666666,188.63,29.72171221624851,35.64588289383854,0.9444444444444444,-0.008535359984172387,28.166666666666668,31.86,15.473333333333333,3,Crisis,Rift Valley
Uasin Gishu,175.42472222222221,2105.0966666666664,18.9217448583376,24.47134882232463,0.25,-0.04882998891470164,9.777777777777779,227.0622222222222,136.26777777777775,1,Minimal,Rift Valley
Vihiga,205.94833333333335,2471.3800000000006,20.38768591056494,25.34277003328213,0.1388888888888889,-0.03185374106804834,8.333333333333334,300.2422222222222,228.7588888888889,1,Minimal,Rift Valley
Wajir,77.44555555555556,929.3466666666667,28.34305073391364,34.573032386072704,0.8888888888888888,-0.01280355064257587,24.444444444444443,83.99,166.09888888888887,3,Crisis,North Eastern
West Pokot,98.2811111111111,1179.3733333333332,21.19357669824202,27.654875021334696,0.4166666666666667,-0.1566077726139116,13.86111111111111,138.4711111111111,69.27333333333334,2,Stressed,Rift Valley
